loc,cbo,dit,fanIn,fanOut,lcom,noc,rfc,wmc,numberOfAttributes,numberOfAttributesInherited,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,numberOfVersionsUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bug
24,3,2,1,2,6,0,12,9,1,1,4,13,1,0,0,3,9,0,3,85,26,9.44444,59,18,6.555560000000002,26,22,2.88889,110.143,31.8992,0
13,20,1,20,0,6,1,5,4,2,0,4,18,1,0,0,4,18,0,4,344,101,19.1111,324,106,18.0,20,28,1.11111,239.143,59.1516,1
24,7,1,1,7,1,0,20,5,2,0,2,9,0,0,0,2,25,1,3,65,12,2.6,52,10,2.08,13,11,0.52,126.714,61.3231,0
56,8,4,1,7,1,0,23,13,0,421,2,68,0,0,0,2,23,0,5,225,83,9.78261,221,83,9.6087,4,6,0.173913,367.0,79.4641,0
40,1,5,0,1,36,0,14,12,4,61,9,49,0,0,0,5,83,0,7,2960,450,35.6627,3359,450,40.4699,-399,58,-4.8072300000000014,367.0,36.1602,1
186,20,6,9,12,105,0,100,49,6,61,15,207,1,0,4,14,62,0,9,711,106,11.4677,516,117,8.32258,195,28,3.14516,367.0,133.266,0
12,2,2,1,1,6,0,6,3,0,0,4,22,0,0,0,1,3,0,2,6,4,2.0,8,6,2.66667,-2,0,-0.666667,32.7143,5.42857,0
8,5,8,3,2,3,0,6,2,1,4,3,160,1,0,0,3,14,0,8,43,11,3.07143,34,17,2.42857,9,6,0.642857,335.286,122.744,0
87,7,6,2,5,15,1,34,25,4,394,6,107,0,0,4,5,44,0,7,244,31,5.54545,174,21,3.95455,70,17,1.59091,239.143,57.1985,1
84,8,2,0,8,6,0,53,16,1,1,4,19,1,1,0,2,10,0,3,133,90,13.3,21,5,2.1,112,89,11.2,42.0,2.67025,0
1295,1,2,0,1,91,0,150,219,14,6,14,35,14,13,0,1,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,6.57143,0.0,0
3,0,1,0,0,0,0,2,1,4,0,1,0,1,0,3,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,14.8571,0.0,0
40,12,2,4,8,28,0,33,8,2,3,8,8,2,2,0,6,28,3,2,107,26,3.82143,105,23,3.75,2,4,0.07142899999999999,172.0,56.4045,0
27,2,3,1,1,1,0,7,6,9,1,2,16,7,0,0,2,5,0,2,58,52,11.6,58,52,11.6,0,1,0.0,93.7143,14.9483,0
480,35,1,16,20,990,0,191,87,15,0,45,0,14,16,0,24,12,0,2,31,13,2.58333,21,5,1.75,10,8,0.833333,48.8571,8.05991,0
52,3,2,1,2,45,0,27,12,4,43,10,6,4,0,0,10,19,0,5,602,394,31.6842,330,300,17.3684,272,394,14.3158,156.571,6.30043,0
9,2,2,1,1,1,0,5,2,0,0,2,15,0,0,0,2,3,0,2,11,7,3.66667,29,25,9.66667,-18,0,-6.0,183.857,56.9091,0
21,6,5,1,5,15,0,14,6,2,71,6,279,2,0,0,6,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,14.7143,0.0,0
13,2,2,1,1,10,0,9,4,0,2,5,97,0,0,0,5,11,0,5,102,31,9.27273,83,40,7.54545,19,27,1.72727,237.71400000000003,59.7899,1
152,7,3,0,7,136,0,72,35,5,0,17,21,5,7,0,10,9,0,4,70,32,7.77778,105,31,11.6667,-35,1,-3.88889,194.571,42.9,0
193,9,2,4,5,78,1,34,53,4,402,13,8,0,1,3,7,35,0,9,383,96,10.9429,300,68,8.57143,83,28,2.37143,228.143,27.0653,1
178,11,1,1,10,55,0,85,26,3,0,11,0,2,7,0,3,14,0,3,119,41,8.5,91,55,6.5,28,15,2.0,138.429,43.2557,1
45,13,1,6,7,6,0,28,10,2,0,4,0,1,0,0,4,50,0,3,268,24,5.36,257,29,5.14,11,14,0.22,122.857,54.5975,0
92,1,2,0,1,171,0,40,19,1,1,19,27,1,0,0,19,6,0,2,26,22,4.33333,25,22,4.16667,1,1,0.166667,32.7143,4.21429,0
38,9,2,8,1,36,5,18,14,2,0,9,15,2,0,0,6,10,0,7,27,13,2.7,65,51,6.5,-38,1,-3.8,368.143,162.79399999999995,0
75,3,1,1,2,91,0,24,19,6,0,14,19,0,1,6,13,2,0,2,7,6,3.5,6,5,3.0,1,1,0.5,170.143,60.2449,0
9,3,2,1,2,1,0,4,2,0,1,2,19,0,0,0,0,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,205.143,0.0,0
31,6,2,1,5,3,0,10,6,3,0,3,11,0,0,3,2,1,1,1,1,1,1.0,1,1,1.0,0,0,0.0,11.7143,0.0,0
25,1,1,0,1,10,0,7,7,0,0,5,9,0,0,0,5,7,0,1,12,5,1.71429,11,4,1.57143,1,4,0.14285699999999998,139.714,66.7381,0
36,6,1,2,4,28,0,25,11,2,0,8,0,2,0,0,8,10,0,4,47,13,4.7,25,14,2.5,22,10,2.2,204.0,58.8723,0
198,21,3,7,15,28,4,59,69,2,408,8,58,0,0,2,8,84,0,6,857,102,10.2024,680,102,8.095239999999999,177,59,2.10714,367.0,122.828,1
126,15,1,7,8,28,3,56,22,6,0,8,11,5,1,1,7,62,0,6,797,160,12.8548,671,160,10.8226,126,31,2.03226,367.0,94.6232,0
251,21,3,3,20,45,0,82,55,3,3,10,17,1,3,1,1,69,0,7,1470,235,21.3043,1179,235,17.087,291,62,4.21739,367.0,131.24200000000002,1
0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,40.8571,0.0,0
49,5,1,0,5,15,0,26,8,2,0,6,0,2,2,0,4,20,0,8,243,86,12.15,318,112,15.9,-75,14,-3.75,299.4290000000001,178.855,0
23,9,1,1,8,1,0,13,4,1,0,2,10,1,0,0,2,4,0,2,30,16,7.5,11,6,2.75,19,15,4.75,132.286,36.9667,0
16,2,1,2,0,10,5,5,5,3,0,5,18,3,0,0,5,7,0,2,10,4,1.42857,7,2,1.0,3,3,0.428571,133.0,89.8857,0
158,13,4,1,12,28,0,70,25,7,381,8,46,0,0,6,8,66,0,7,946,169,14.3333,862,169,13.0606,84,22,1.27273,367.0,104.98,0
269,27,1,1,26,55,0,144,56,5,0,11,9,5,6,0,5,5,0,3,467,460,93.4,440,433,88.0,27,27,5.4,23.1429,3.83695,0
34,3,1,2,1,45,0,11,10,7,0,10,19,7,0,0,10,5,0,2,37,24,7.4,8,6,1.6,29,18,5.8,41.1429,2.78378,0
3,0,3,0,0,0,0,1,1,1,0,1,27,1,0,0,1,4,0,2,6,4,1.5,3,1,0.75,3,3,0.75,39.5714,15.9524,0
70,6,1,0,6,28,0,32,8,3,11,8,0,3,2,0,4,38,0,7,902,276,23.7368,838,303,22.0526,64,224,1.6842099999999998,326.571,168.697,1
6,1,1,1,0,1,0,2,2,0,0,2,0,0,0,0,2,2,0,1,3,3,1.5,3,3,1.5,0,0,0.0,32.7143,1.71429,0
140,13,1,2,11,136,0,69,44,10,5,17,19,8,4,1,13,7,1,2,93,56,13.2857,42,22,6.0,51,34,7.285710000000001,162.143,114.169,1
54,5,1,4,1,120,1,22,15,6,0,16,9,4,0,0,11,5,0,2,7,4,1.4,11,9,2.2,-4,3,-0.8,45.2857,12.7551,0
9,2,1,2,0,3,18,3,3,0,0,3,8,0,0,0,3,24,0,5,1171,357,48.7917,585,217,24.375,586,306,24.4167,238.429,63.1014,0
121,5,2,1,4,231,0,54,51,11,0,22,37,11,0,0,22,6,0,2,323,319,53.8333,354,350,59.0,-31,0,-5.16667,93.7143,39.0341,0
672,23,2,8,15,136,0,197,53,10,13,17,95,1,3,0,1,4,0,3,11,6,2.75,10,9,2.5,1,5,0.25,39.5714,7.090910000000001,0
236,15,3,0,15,435,0,96,58,1,1,30,72,1,10,0,11,12,0,5,827,301,68.9167,139,98,11.5833,688,301,57.3333,61.1429,5.90672,0
28,3,7,1,2,36,0,14,9,1,158,9,520,1,0,0,9,9,0,2,180,136,20.0,223,136,24.7778,-43,136,-4.77778,59.2857,0.650794,0
15,0,1,0,0,28,5,8,4,0,0,8,9,0,0,0,4,6,0,1,22,14,3.66667,23,14,3.83333,-1,3,-0.166667,139.714,58.1688,0
9,2,2,2,0,1,0,5,4,1,0,2,19,0,0,1,2,5,0,3,18,15,3.6,9,5,1.8,9,10,1.8,121.571,47.5873,0
173,12,3,0,12,91,0,68,26,7,0,14,21,6,2,0,11,9,0,5,76,25,8.44444,74,26,8.22222,2,22,0.222222,188.429,99.1654,0
10,2,1,1,2,1,0,4,4,0,0,2,6,0,0,0,2,2,0,2,2,2,1.0,2,2,1.0,0,0,0.0,159.429,125.286,0
20,9,1,7,2,3,0,6,8,26,0,3,9,0,0,0,0,13,0,6,175,89,13.4615,30,8,2.30769,145,83,11.1538,173.857,98.0906,0
3,2,1,1,1,1,0,3,1,0,0,2,8,0,0,0,2,3,0,1,2,2,0.666667,5,3,1.66667,-3,0,-1.0,162.143,51.1429,0
61,16,1,4,12,21,0,38,16,2,0,7,0,2,0,0,7,40,2,3,125,19,3.125,101,19,2.525,24,18,0.6,139.571,66.4411,0
156,4,1,2,2,45,0,33,43,13,0,10,8,2,0,2,10,8,0,2,46,29,5.75,12,7,1.5,34,22,4.25,126.571,67.1366,0
24,3,2,0,3,0,1,14,1,0,3,1,23,0,0,0,0,5,0,4,73,63,14.6,118,63,23.6,-45,0,-9.0,90.5714,11.6536,0
44,6,1,2,4,3,0,26,13,2,0,3,9,0,0,0,1,5,0,5,22,11,4.4,58,49,11.6,-36,1,-7.2,349.571,176.571,0
151,9,1,1,9,45,0,72,44,2,0,10,0,2,4,0,5,9,0,3,278,198,30.8889,106,73,11.7778,172,197,19.1111,139.0,83.8114,1
21,3,5,1,2,21,0,10,7,1,110,7,409,1,0,0,7,9,0,3,117,73,13.0,115,73,12.7778,2,73,0.222222,59.2857,1.02564,0
63,4,2,2,2,66,0,32,17,3,95,12,68,2,0,0,3,23,0,5,177,63,7.69565,41,7,1.7826099999999998,136,62,5.9130400000000005,229.71400000000003,15.9927,0
15,5,1,3,2,3,2,5,4,1,0,3,0,0,0,0,2,3,0,2,17,9,5.66667,32,22,10.6667,-15,0,-5.0,98.0,48.3529,0
153,12,2,3,9,45,0,34,39,6,0,10,20,6,1,0,4,14,1,2,195,82,13.9286,97,73,6.92857,98,27,7.0,178.857,23.8447,0
3,0,1,0,0,0,0,2,1,2,0,1,0,1,0,1,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,19.1429,0.0,0
9,1,4,1,0,3,1,3,3,0,34,3,84,0,0,0,1,28,0,5,105,45,3.75,103,45,3.67857,2,6,0.07142899999999999,367.0,59.0014,0
70,2,2,0,2,15,0,21,14,4,4,6,13,4,1,0,1,4,0,2,29,24,7.25,40,35,10.0,-11,0,-2.75,104.857,60.2364,0
47,11,2,7,4,55,0,23,14,6,0,11,15,5,0,0,11,5,0,2,53,35,10.6,17,13,3.4,36,33,7.2,45.5714,13.0889,0
25,5,3,3,2,6,1,7,5,1,3,4,17,0,0,0,1,41,0,6,275,107,6.707319999999998,318,107,7.7561,-43,24,-1.0487799999999998,367.0,54.6197,0
57,11,1,6,5,28,0,23,15,0,0,8,9,0,0,0,8,26,0,3,147,45,5.65385,109,43,4.19231,38,21,1.46154,139.571,28.2323,0
12,4,1,1,3,0,0,4,4,0,0,1,6,0,0,0,1,6,0,2,80,32,13.3333,7,5,1.16667,73,32,12.1667,122.429,15.6821,0
48,12,2,6,6,36,0,24,10,6,0,9,15,4,0,0,9,22,0,9,320,100,14.5455,151,51,6.863639999999998,169,98,7.68182,368.143,239.629,0
27,2,2,2,1,1,0,8,4,2,0,2,2,2,0,0,2,3,1,1,0,0,0.0,0,0,0.0,0,0,0.0,164.0,0.0,0
44,8,1,6,2,21,3,20,14,2,0,7,8,2,0,0,6,9,0,4,14,4,1.55556,13,4,1.44444,1,1,0.111111,224.857,67.7959,0
257,19,1,7,15,190,0,77,33,22,0,20,0,22,1,0,9,52,0,3,1225,388,23.5577,755,373,14.5192,470,250,9.03846,136.571,76.8238,0
162,12,1,1,11,10,0,82,44,2,0,5,9,2,3,0,2,14,0,3,289,223,20.6429,277,223,19.7857,12,223,0.857143,109.0,16.8957,0
56,7,1,4,4,15,0,16,19,3,0,6,8,3,0,0,6,19,0,7,240,46,12.6316,215,44,11.3158,25,10,1.31579,234.571,21.7625,0
79,1,1,0,1,15,0,11,6,0,0,6,9,0,0,0,6,17,3,2,30,7,1.7647099999999998,23,4,1.35294,7,6,0.411765,164.0,101.095,0
47,7,1,5,2,21,0,17,15,12,0,7,9,2,0,0,7,11,0,3,118,39,10.7273,137,106,12.4545,-19,32,-1.72727,74.7143,18.1114,0
106,12,4,1,11,55,0,52,20,1,3,11,51,0,2,0,3,16,0,7,95,26,5.9375,79,36,4.9375,16,15,1.0,227.429,107.445,0
39,4,3,0,4,10,0,13,8,1,0,5,31,1,0,0,5,3,0,2,3,1,1.0,4,2,1.33333,-1,0,-0.333333,70.1429,31.3333,0
20,3,1,2,2,10,0,9,5,1,0,5,6,1,0,0,5,13,0,6,70,21,5.38462,45,20,3.4615400000000003,25,16,1.92308,225.286,73.3408,0
61,7,1,2,5,21,3,26,9,2,0,7,0,2,0,0,6,42,1,3,418,113,9.95238,382,108,9.09524,36,108,0.857143,108.143,38.9269,0
288,10,2,2,8,1035,0,159,166,23,0,46,35,23,0,0,46,8,0,2,774,734,96.75,876,836,109.5,-102,7,-12.75,110.714,21.4956,0
11,3,1,2,2,6,0,6,4,1,0,4,9,0,0,1,4,2,0,2,5,5,2.5,1,1,0.5,4,4,2.0,56.1429,22.0,0
79,3,2,1,2,3,0,19,11,4,8,3,19,0,0,4,3,33,0,7,160,35,4.84848,114,18,3.45455,46,17,1.39394,282.0,54.4366,0
51,3,2,1,2,28,0,13,12,7,0,8,25,7,0,0,7,4,0,1,3,1,0.75,3,1,0.75,0,0,0.0,126.571,74.0476,0
33,2,1,1,1,21,1,14,7,0,0,7,9,0,0,0,6,15,3,2,37,6,2.46667,29,4,1.93333,8,3,0.533333,110.429,43.6332,0
27,6,2,1,5,1,0,21,7,1,0,2,3,1,0,0,1,15,0,8,80,18,5.33333,82,29,5.46667,-2,10,-0.13333299999999998,305.0,115.632,0
736,18,1,7,13,630,1,267,292,5,0,36,8,1,0,4,3,131,0,10,3730,879,28.4733,3780,893,28.855,-50,61,-0.381679,367.0,119.775,1
67,11,1,0,11,15,0,37,22,0,0,6,9,0,1,0,5,33,1,3,212,96,6.42424,244,96,7.39394,-32,96,-0.969697,98.0,16.6435,1
33,47,5,46,2,21,0,17,8,2,5,7,86,2,0,0,6,11,0,4,194,83,17.6364,20,7,1.81818,174,83,15.8182,151.143,11.8527,0
6,2,1,2,0,1,0,2,2,1,0,2,9,1,0,0,2,3,0,2,15,10,5.0,1,1,0.333333,14,10,4.66667,65.2857,24.4286,0
61,2,3,0,2,15,0,23,15,0,8,6,28,0,0,0,2,16,0,2,198,51,12.375,79,45,4.9375,119,51,7.4375,114.429,89.9242,0
419,33,1,8,28,231,0,168,79,21,0,22,8,7,1,14,21,63,0,7,1440,111,22.8571,844,115,13.3968,596,111,9.46032,258.0,71.1393,1
19,5,3,2,3,10,2,9,7,1,1,5,30,0,0,0,3,4,0,3,9,6,2.25,14,6,3.5,-5,1,-1.25,183.857,100.286,0
61,7,1,4,6,105,0,30,16,6,0,15,9,6,1,0,14,23,1,2,96,24,4.17391,80,18,3.47826,16,16,0.695652,142.714,31.8676,0
41,3,2,0,3,55,0,18,13,1,1,11,23,0,0,0,11,23,0,3,65,16,2.82609,82,13,3.56522,-17,10,-0.7391300000000001,139.714,58.4791,0
924,1,2,0,1,66,0,102,164,14,6,12,35,14,11,0,1,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,6.57143,0.0,0
33,5,3,2,3,6,0,11,16,4,5,4,31,0,0,4,2,28,0,7,178,58,6.35714,175,58,6.25,3,8,0.107143,329.0,38.0385,0
236,12,1,3,12,136,0,98,42,10,0,17,3,10,6,0,9,12,0,3,310,141,25.8333,182,129,15.1667,128,114,10.6667,74.0,13.7263,1
6,2,1,0,2,1,0,8,2,0,0,2,9,0,0,0,2,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,85.1429,0.0,0
138,11,1,3,8,15,0,33,10,5,0,6,0,5,1,0,5,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,6.42857,0.0,1
114,13,1,12,1,325,0,51,39,11,0,26,9,10,0,0,25,16,0,2,31,6,1.9375,31,6,1.9375,0,3,0.0,133.0,68.5899,0
10,3,1,1,2,1,0,6,1,0,0,2,10,0,0,0,2,3,0,2,18,16,6.0,5,3,1.66667,13,15,4.33333,136.571,49.9444,0
123,11,2,1,10,10,0,25,41,2,1,5,19,0,1,2,0,14,0,6,182,47,13.0,131,90,9.35714,51,38,3.64286,242.143,81.5392,0
9,2,1,1,1,1,0,3,2,2,0,2,9,2,1,0,1,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,7.714289999999999,0.0,1
39,3,3,0,3,28,0,19,13,2,0,8,22,0,1,0,7,2,0,2,10,9,5.0,2,1,1.0,8,8,4.0,64.0,25.5857,0
66,5,1,0,5,3,2,25,14,0,0,3,0,0,1,0,2,14,0,3,57,20,4.07143,51,28,3.64286,6,6,0.428571,104.0,43.2682,0
281,1,2,0,1,15,0,24,44,7,6,6,35,7,5,0,1,1,0,1,1,1,1.0,1,1,1.0,0,0,0.0,6.57143,0.0,0
60,2,1,0,2,6,0,16,22,3,0,4,8,0,1,0,3,14,0,6,19,4,1.35714,40,23,2.85714,-21,1,-1.5,236.143,101.602,0
122,15,2,5,10,120,3,87,38,0,5,16,50,0,1,0,1,9,0,3,55,27,6.11111,61,38,6.77778,-6,3,-0.666667,133.571,57.3299,0
87,5,1,2,3,15,0,33,12,6,0,6,6,6,1,0,5,10,2,3,391,176,39.1,49,29,4.9,342,176,34.2,107.0,7.31129,0
14,14,4,14,0,6,0,4,4,1,2,4,170,1,0,0,4,5,0,2,12,6,2.4,3,1,0.6,9,6,1.8,45.0,12.9524,0
1058,58,1,25,40,2080,0,413,217,182,0,65,0,2,11,0,54,709,0,15,38598,2955,54.4401,34292,2942,48.3667,4306,336,6.07334,367.0,100.595,1
76,4,3,1,4,78,0,39,23,6,95,13,73,4,0,0,4,35,0,7,514,124,14.6857,235,124,6.714289999999999,279,76,7.971430000000002,333.1430000000001,85.9722,0
30,2,3,0,2,3,0,11,7,2,1,3,16,2,0,0,3,4,0,2,21,11,5.25,10,8,2.5,11,8,2.75,190.71400000000003,5.98639,0
185,10,1,4,6,45,0,78,27,10,0,10,9,4,1,0,0,18,1,5,439,80,24.3889,238,56,13.2222,201,57,11.1667,368.143,266.608,0
427,8,3,1,7,741,0,116,90,34,12,39,70,22,7,1,20,11,1,3,93,22,8.45454,57,34,5.18182,36,19,3.27273,184.857,13.447,0
9,4,5,3,1,3,0,5,3,1,4,3,64,1,0,0,3,4,0,2,67,32,16.75,4,4,1.0,63,32,15.75,151.0,5.34755,0
0,0,1,0,0,1,1,2,0,5,0,2,8,0,0,0,2,11,0,5,39,8,3.54545,14,5,1.27273,25,7,2.27273,288.143,107.689,0
18,4,1,1,4,1,0,8,4,2,0,2,0,1,0,0,2,36,2,3,122,24,3.38889,147,46,4.08333,-25,20,-0.694444,139.571,70.4672,0
79,6,2,2,4,15,0,22,24,1,0,6,11,1,1,0,5,34,0,3,192,26,5.64706,131,16,3.85294,61,25,1.7941200000000002,95.7143,33.2753,0
33,5,3,0,5,6,0,19,6,2,0,4,1,2,0,0,4,9,0,3,133,104,14.7778,49,29,5.44444,84,100,9.33333,88.1429,10.247,0
346,12,2,1,11,276,1,84,34,11,13,24,95,6,0,0,8,11,1,3,26,5,2.36364,26,7,2.36364,0,4,0.0,45.2857,4.64286,0
39,7,1,5,2,45,0,13,12,3,0,10,9,3,0,0,10,12,1,2,17,4,1.41667,42,25,3.5,-25,2,-2.08333,109.857,45.5042,0
7,3,1,2,1,1,0,5,3,0,0,2,0,0,0,0,2,3,0,2,7,5,2.33333,3,2,1.0,4,4,1.33333,43.5714,20.3469,0
6,3,1,2,1,1,1,4,2,0,0,2,9,0,0,0,2,10,0,2,43,12,4.3,25,10,2.5,18,12,1.8,92.4286,40.4419,0
9,2,1,1,1,1,0,3,2,2,0,2,9,2,1,0,1,2,0,1,1,1,0.5,1,1,0.5,0,0,0.0,19.8571,2.0,0
69,7,4,0,7,120,0,36,19,0,1,16,73,0,0,0,8,9,0,3,62,22,6.888889999999999,29,20,3.22222,33,22,3.66667,99.2857,19.9816,0
8,3,2,1,2,1,0,4,2,2,1,2,5,2,0,0,1,75,0,5,1019,107,13.5867,1267,559,16.8933,-248,104,-3.30667,188.143,16.434,0
9,2,2,1,1,6,0,5,3,0,0,4,22,0,0,0,1,3,0,2,14,10,4.66667,14,10,4.66667,0,0,0.0,32.7143,9.67347,1
17,2,2,1,1,1,0,6,3,0,0,2,28,0,0,0,1,3,0,2,13,10,4.33333,7,7,2.33333,6,10,2.0,124.286,21.6813,0
183,8,1,1,8,66,0,84,49,5,0,12,6,5,1,0,2,13,0,4,581,254,44.6923,88,73,6.76923,493,254,37.9231,140.0,10.5815,0
131,11,3,5,6,231,0,63,34,4,0,22,44,2,0,1,17,5,1,1,38,19,7.6,29,19,5.8,9,7,1.8,103.714,7.1654100000000005,0
54,3,4,1,2,55,0,32,15,2,96,11,88,1,0,0,1,23,0,5,374,98,16.2609,46,12,2.0,328,98,14.2609,226.0,3.81207,0
96,9,4,2,7,120,0,47,20,2,0,16,39,2,4,0,7,10,0,4,455,212,45.5,89,46,8.9,366,212,36.6,61.1429,3.5551,0
20,12,2,10,2,10,0,14,8,1,0,5,29,1,0,0,4,5,0,5,11,6,2.2,11,5,2.2,0,1,0.0,119.286,47.7403,0
149,18,3,2,18,28,0,77,29,2,15,8,17,0,4,0,0,53,0,6,588,183,11.0943,550,183,10.3774,38,34,0.7169810000000001,367.0,73.7826,1
0,0,1,0,0,0,0,0,0,1,204,0,8,0,0,0,0,15,0,4,240,204,16.0,238,204,15.8667,2,3,0.13333299999999998,322.714,12.6012,1
86,14,2,5,9,45,0,59,20,2,1,10,39,1,3,0,3,19,0,6,115,23,6.0526300000000015,96,34,5.0526300000000015,19,11,1.0,227.429,81.3491,1
11,2,1,0,2,1,0,9,3,0,0,2,0,0,0,0,2,6,0,2,17,8,2.83333,11,4,1.83333,6,6,1.0,92.5714,43.3361,0
179,12,3,1,11,105,0,72,22,6,0,15,21,6,7,0,8,17,0,6,476,213,28.0,466,298,27.4118,10,189,0.5882350000000001,257.42900000000003,51.6633,0
12,4,5,1,3,3,0,6,4,0,5,3,89,0,0,0,1,6,0,4,38,30,6.33333,80,70,13.3333,-42,0,-7.0,335.286,180.481,0
61,4,1,1,3,21,0,17,13,1,0,7,9,1,1,0,6,8,1,2,23,8,2.875,21,8,2.625,2,4,0.25,92.4286,36.5155,0
11,6,1,6,0,3,1,3,3,3,0,3,18,1,0,2,3,7,0,4,50,15,7.1428600000000015,67,51,9.57143,-17,13,-2.42857,368.143,151.086,0
63,11,1,1,10,6,0,39,12,4,0,4,0,4,0,0,3,24,0,3,170,96,7.08333,155,82,6.45833,15,16,0.625,90.0,39.2714,0
38,2,1,1,1,10,1,9,5,4,0,5,8,0,0,3,5,43,0,8,523,180,12.1628,524,180,12.186,-1,26,-0.023256,367.0,98.6651,0
1520,5,4,4,1,300,4,63,73,1,411,25,69,0,0,1,25,48,0,7,8887,1598,185.146,9187,1854,191.396,-300,6,-6.25,367.0,50.8267,0
65,10,2,4,7,105,0,32,20,5,0,15,17,5,0,0,14,12,0,2,41,9,3.41667,25,6,2.08333,16,8,1.33333,94.2857,49.6446,0
13,4,1,3,1,1,0,12,4,0,0,2,9,0,0,0,2,2,0,2,7,6,3.5,6,5,3.0,1,1,0.5,170.143,60.2449,0
32,6,6,3,3,36,0,16,12,2,3,9,81,2,0,0,7,8,0,7,48,23,6.0,18,6,2.25,30,23,3.75,331.0,177.854,0
569,25,1,7,18,1176,6,293,116,23,0,49,27,15,13,0,19,22,3,3,830,456,37.7273,685,523,31.1364,145,80,6.590910000000001,184.857,65.3759,0
124,11,1,2,9,28,0,50,23,2,0,8,0,2,5,0,3,8,0,3,235,183,29.375,52,31,6.5,183,174,22.875,95.0,8.675989999999999,0
9,2,2,1,1,6,0,5,3,1,0,4,22,1,0,0,1,3,0,1,5,4,1.66667,5,4,1.66667,0,0,0.0,23.8571,5.028569999999998,0
9,4,5,3,1,3,0,6,3,1,4,3,64,1,0,0,3,4,0,2,66,32,16.5,2,2,0.5,64,32,16.0,151.0,3.68831,0
26,6,1,3,3,1,0,10,2,0,0,2,9,0,1,0,1,9,0,5,47,13,5.22222,87,51,9.66667,-40,1,-4.44444,349.571,149.696,0
98,5,1,1,4,45,0,34,32,4,0,10,0,4,4,0,6,5,0,2,219,206,43.8,80,68,16.0,139,138,27.8,60.7143,14.4279,1
19,2,1,1,2,1,0,12,3,2,0,2,0,1,0,0,2,15,0,2,36,6,2.4,36,6,2.4,0,3,0.0,139.571,74.1508,0
195,16,4,3,13,15,0,75,56,2,384,6,69,0,0,2,6,72,0,7,873,188,12.125,818,188,11.3611,55,14,0.763889,367.0,101.333,0
145,2,2,1,2,496,0,68,43,2,8,32,46,0,0,2,31,33,0,5,798,141,24.1818,730,127,22.1212,68,72,2.06061,367.0,112.254,0
56,11,1,4,7,15,0,30,12,4,0,6,0,3,0,0,6,24,2,3,119,60,4.95833,72,28,3.0,47,59,1.95833,139.571,74.2521,1
9,6,1,2,4,1,0,10,3,0,0,2,9,0,0,0,2,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,2.71429,0.0,0
161,9,1,1,8,15,0,69,23,4,0,6,6,4,2,0,4,34,0,6,852,233,25.0588,806,226,23.7059,46,55,1.35294,240.71400000000003,29.4946,1
41,2,1,0,2,36,0,18,11,2,0,9,0,2,1,0,8,26,2,2,110,54,4.23077,100,43,3.84615,10,11,0.384615,163.857,37.9013,0
19,3,1,2,1,15,0,8,6,2,0,6,9,2,0,0,6,6,0,3,19,9,3.16667,13,9,2.16667,6,4,1.0,105.571,74.3684,0
79,6,1,1,5,55,0,43,24,5,0,11,9,5,0,0,11,3,0,2,5,4,1.66667,2,1,0.666667,3,3,1.0,41.1429,18.0857,0
7,0,7,0,0,1,0,2,2,2,388,2,87,0,0,0,2,16,0,4,79,27,4.9375,81,27,5.0625,-2,6,-0.125,367.0,74.094,0
101,18,4,3,15,78,0,55,28,7,0,13,70,7,0,0,11,47,2,7,468,68,9.95745,347,73,7.38298,121,28,2.5744700000000003,227.429,118.513,0
239,17,3,1,16,190,0,123,54,7,0,20,21,7,7,0,12,42,0,9,785,242,18.6905,837,212,19.9286,-52,30,-1.2381,335.286,86.4495,0
62,7,1,1,6,6,0,21,6,4,0,4,0,4,1,0,3,49,1,5,461,124,9.40816,584,223,11.9184,-123,112,-2.5102,240.71400000000003,102.725,0
419,14,4,4,11,703,0,162,94,14,50,38,185,0,0,0,20,58,0,7,1851,721,31.9138,1730,721,29.8276,121,77,2.08621,367.0,49.3741,0
9,2,2,1,1,6,0,5,3,0,0,4,22,0,0,0,1,3,0,1,2,1,0.666667,2,1,0.666667,0,0,0.0,23.8571,6.57143,0
30,13,2,9,4,28,11,18,10,2,0,8,11,2,0,0,5,13,1,5,106,40,8.15385,80,25,6.15385,26,39,2.0,191.143,22.1887,0
